fund_name,website,sector_focus
Talde,https://www.talde.com/es,"Industrial, Services, Healthcare, logistics, ecommerce… Among many others"
Capza,https://capza.co/,"Automotive
Capital goods
Digital
Diversified financial services
Education
Energy
Food & Beverage
Healthcare
Household Products
Insurance
Leisure activities
Materials
Real Estate Services
Retailing
Services
Software
Tech services
Telecommunication Services
Transportation
Utilities"
Riverside,https://www.riversidecompany.com/locations/madrid/,"Business Services
Consumer brands
Education and training
franchisor
Healthcare
Software & IT
Special Manufacturing
Thematic investing"
Corpfin Capital,http://www.corpfincapital.com/,"Industry
Consumer Products
Beauty
Healthcare
Hotels
Education"
GED Capital,http://www.gedcapital.com,"Healthcare
Aeronautics
Consumer
Food & Beverage
Restaurants
Industry
Services"
MCH Private Equity,https://mch.es/,"Healthcare
Food & Beverage
Consumer
Technology
Industrial
Services
Education
Textile"
Moira Capital Partners,https://moiracapitalpartners.com/,"Healthcare
Foodtech
Circular Economy
Traditional 4.0 companies (undergoing digital transformation)"
Quarza Inversiones,https://www.quarzainversiones.com/quienes-somos/,"Healthcare
Logistics
Food & Beverage
Industry"
HIG Capital,https://www.higcapital.com/,"Business Services
Chemicals
Consumer/Retail
Healthcare
Industrial
Technology, media and telecommunication"
Nazca Capital,https://www.nazca.es/,"Agroindustrial
Business Services
Industrial
Logistics
Retail
Healthcare & Beauty
Marketing digital"
Artá Capital,http://www.artacapital.com/,"Industry
Fashion
Services
Food & Beverage
Infrastructure
Energy
Technology
Healthcare
Consumer"
DEA CAPITAL,https://www.deacapital.com/?lang=en,
GPF Partners,https://gpf-partners.com/,"Technology
Industrial
Consumer
Tourism
Restaurants
Food & Beverage
Education
Agriculture"
Nexxus Iberia,https://nexxus-iberia.com/,"Wellness
Education
Industrial
Logistics
Healthcare
Business Services
Technology"
Tresmares Capital,https://www.tresmarescapital.com/en/,"Food & Beverage
Industrial
Biotech
Technology
Cybersecurity"
Portobello Cap.,http://www.portobellocapital.es/es/,"Business Services
Industrial
Logistics
Retail
Consumer Products
Healthcare"
Torreal Capital,https://www.torreal.com/,"Industry
Beauty
Technology
Infrastructure
Supplements
Education
Healthcare"
Alantra,https://www.alantra.com/,
Diana Capital,http://www.dianacapital.com,"Automotive
Outdoor lighting
Retail
Labeling
HVAC
Audiovisual production
Energy Sector
Steel foundry
Restaurants
Technology"
GLOBAL SOCIAL IMPACT,https://globalsocialimpact.es/,
PAI partners,http://www.paipartners.com/,"Business Services
Food & Consumer
General Industrials
Healthcare"
Proa Capital,http://proacapital.com/es/,"Arts & Cfaft
Aeronautics
Ed-tech
Food & Beverage
Care del home
Retail
IT & Printing
Dental
Energy
Consumer
Healthcare
Services
Restaurants
Infrastructure"
ARDIAN (FR),https://www.ardian.com/,
Miura Private Equity,http://www.miuraequity.com/,"Food & Beverage
Services
Industrial
Retail & Consumer
Healthcare"
