fund_name,company,activity,activity_original,translation_check
CAPZA,(2019) Goiko – Unitranche (Private Debt),Premium burger chain,Premium burger chain,ok
CAPZA,(2020) IMF - Flex Equity,Online postgraduate education,Online postgraduate education,ok
CAPZA,(2022) Aercal - Flex Equity,Aero-structure manufacturing,Aero-structure manufacturing,ok
CAPZA,(2022) Komvida - Transition,Organic kombucha,Organic kombucha,ok
CAPZA,(2022) La Finca - Flex Equity,Premium Meat Producer,Premium Meat Producer,ok
CAPZA,(2022) Wm Clinics - Artemid,Medical Aesthetics & Fertility Clinics,Medical Aesthetics & Fertility Clinics,ok
CAPZA,(2024) 24/7 – Unitranche (Private Debt),Production Services,Production Services,ok
CAPZA,(2024) Ilerna – Unitranche (Private Debt),Professional Development,Professional Development,ok
"Nazca Capital, S.G.E.I.C., S.A.",226ers,Sports Nutrition,Sports Nutrition,ok
Bullnet Capital,2eyesVision,Ophthalmic Medical Device,Ophthalmic Medical Device,ok
Aptimus Capital Partners (Spain) S.L.U.,30 empresas,,,ok
Sociedad de Desarrollo de Navarra (SODENA),3P Holding,Sus. Terapéuticas of origen biológico,Sus. Terapéuticas de origen biológico,review
Adara Ventures,42Crunch,Cybersecurity,Cybersecurity,ok
Riverside España Partners,A.forall,Distributor of pharmaceutical products to wholesalers and hospitals,Distribuidor de products farmacéuticos a mayoristas y hospitales,ok
Athos Capital,Ábaco Latam,Scoring of crédito and financiación for trabajadores of plataformas in Latam,Scoring de crédito y financiación para trabajadores de plataformas en Latam,review
K Fund,Abacum,FP&A software,FP&A software,ok
Sociedad de Desarrollo de Navarra (SODENA),Abanza Tecnomed,Medical devices with sports-medicine applications,Dispositivos médicos con aplicaciones en medicina deportiva,ok
Clave Mayor,Abanza Tecnomed S.L.,Design and development of devices for sports medicine,Diseño y desarrollo de dispositivos para medicina deportiva,ok
FIT Inversión en Talento,Ability Pharma,Biopharmaceuticals,Biopharmaceuticals,ok
Alter Capital Desarrollo,ABK Group Industrie Ceramiche SPA,Ceramics italiana,Ceramics italiana,ok
Espiga Equity Partners,Abrasivos Manhattan,Manufacturing of muelas abrasivas for rectificado of piezas metálicas,Manufacturing de muelas abrasivas para rectificado de piezas metálicas,review
Tikehau Investment Management (Sucursal en España),Acatec,Precision machining for the aeronautical industry,Precision machining for the aeronautical industry,ok
Gawa Capital Partners,Acceso Crediticio,Microfinance,Microfinance,ok
Renertia Investment Company,Activos Energéticos Biomasa I,Thermal power generation through biomass,Thermal power generation through biomass,ok
Renertia Investment Company,Activos Energéticos Biomasa II,Thermal power generation through biomass,Thermal power generation through biomass,ok
Ardian Spain,Adamo,Telecommunications,Telecommunications,ok
Fundación Ship2B,Adan Medical,Medical Device (treatment ataques anafilácticos),Medical Device (tratamiento ataques anafilácticos),review
Neotec Capital Riesgo,Adara,ICT,ICT,ok
Neotec Capital Riesgo,Adara II,ICT,ICT,ok
Ysios Capital Partners,Adcendo,Development of antibodies for oncology applications,Desarrollo de anticuerpos de aplicación en oncología,ok
Landon Investments,Addison Group,Consulting & Talent,Consulting & Talent,ok
Ona Capital Privat,Adencam Solar,Photovoltaic solar plant,Photovoltaic solar plant,ok
Fundación Ship2B,Admit Therapeutics,Healthcare (detección Alzheimer),Healthcare (detección Alzheimer),review
Torsa Capital,ADN Context-Aware Mobile Solutions S.L.,Development of products and mobile applications,Desarrollo de products y aplicaciones móviles,ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Adpan Europa, S.L.",Manufacturing of products of panadería sin gluten and sin alérgenos,Manufacturing de products de panadería sin gluten y sin alérgenos,review
Sabadell Venture Capital,Adsmurai,Platform for management publicitaria in the networks sociales,Plataforma de gestión publicitaria en las redes sociales,ok
BeAble Capital,"ADVANCED DISPERSED PARTICLES, S.L.",Filtros solares of gran protección ante UV for cosmetics,Filtros solares de gran protección ante UV para cosmética,review
EIT Innoenergy,AEINNOVA,Sensores sin cable alimentados mediante the aprovechamiento of calor residual.,Sensores sin cable alimentados mediante el aprovechamiento de calor residual.,ok
Ysios Capital Partners,Aelix Therapeutics,Development of drugs for infectious diseases,Desarrollo de fármacos en el área de enfermedades infecciosas,ok
Caixa Capital Risc,AELIX THERAPEUTICS SL,BIO,BIO,ok
Nexxus Iberia,Aerocamaras,Education pilotaje drones,Education pilotaje drones,ok
Xesgalicia,"Aerocámaras, S.L.",Formación and services with UAVs,Formación y services con UAVs,review
Elewit,Aerolaser System,Technology LIDAR,Technology LIDAR,ok
Institut Catalá de Finances Capital (ICF),Agile Content,TIC - SaaS,TIC - SaaS,ok
Alantra Private Equity,AGOlives,Procesado and commercialization of aceitunas of mesa,Procesado y comercialización de aceitunas de mesa,ok
Asabys Partners,Agomab Therapeutics,Development of drugs for fibrosis treatment,Desarrollo de fármacos para el tratamiento de la fibrosis,ok
Portobello Capital Gestión,AGQ Labs,Laboratorios of análisis certificados and ensayos avanzados,Laboratorios de análisis certificados y ensayos avanzados,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"AGR Catalysts Recoverty, S.A.",Valoración of metales content in catalizadores agotados,Valoración de metales contenidos en catalizadores agotados,review
Abac Capital,Agroponiente,Sale of all types of fruit and vegetable products,Comercialización de todo tipo de products hortofrutícolas,ok
Aurica Capital Desarrollo,Agrosol Export,Agribusiness,Agribusiness,ok
Unigrains|MCH Private Equity Investments,Agrovin,Products naturales and technology for the sector enológico and of beverages,Productos naturales y technology para el sector enológico y de bebidas,review
Ardian Spain,Aire Networks,Telecommunications,Telecommunications,ok
Talde Gestión,AIT,Acoustic insulation,Aislamiento acústico,ok
Talde Gestión,AJL,Products of oftalmología,Productos de oftalmología,review
Alter Capital Desarrollo,Akampao Movment S.L.,Operador of campings,Operador de campings,ok
BeAble Capital,Ala Diagnostics SL,Development and commercialization of medical equipment (sclerosis),Desarrollo y comercialización de equipos médicos (Esclerosis),ok
Sherpa Capital Entidad Gestora SGEIC,Albastar Aerolinea,Airline,Aerolínea,ok
Tresmares Capital,Alcoaxarquía,"Distribution of tropical fruit, specialized in avocado","Distribución de fruta tropical, especializada en aguacate",ok
BeAble Capital,Alcyon Photonics S.L.,Development and production of products using photonics application techniques,Desarrollo y producción de products con técnicas de aplicación en la fotónica,ok
GAEA Inversión,Alda Hotels,Hotel chain focused on northern Spain,Chain hotelera centrada en el norte de Spain,ok
Demeter Investment Managers,Aldes,Treatment of the aire,Tratamiento del aire,ok
Repsol Energy Ventures,Alerion,Inspección with drones,Inspección con drones,review
DeA Capital Alternative Funds Sucursal España,Alice Pizza,Organized Restaurants,Organized Restaurants,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)","Alimentos El Arco, S.A",Marketing and distribution of food & beverage products,Comercialización y distribución de products de food & beverage,ok
Cardumen Capital,ALISON,AI,Artificial Intelligence,ok
MCH Private Equity Investments,All For Padel,"Palas, accesorios and pistas of pádel","Palas, accesorios y pistas de pádel",review
Samaipata,Allisone,Technology,Technology,ok
Clave Mayor,Allread machine learning technologies SL,Software of detección and lectura OCR for Puertos and Terminales,Software de detección y lectura OCR para Puertos y Terminales,review
