source_type,name,url,keywords,text_preview,last_checked
PE Fund,Talde,https://www.talde.com/es,"capital, privado, talde, crecimiento, deuda, privada, valor, experiencia, para, como, cercan, espa, fabricaci, grupo, empresa, especializada, recursos, principal, nivel, millones, trav, gesti, desarrollo, calidad, mayor","Talde Private Equity - Recursos financieros creación de valor - Talde Pasar al contenido principal Experiencia. Crecimiento. Cercanía. Experiencia. Los más de 45 años de actividad, avalan una larga trayectoria en la que hemos participado en más de 150 empresas de diversos sectores a nivel nacional e internacional. Experiencia. Crecimiento. Cercanía. Crecimiento. Ayudamos a nuestras participadas a crecer en un entorno global en el que la internacionalización, la consolidación sectorial y la eficiencia son claves para la creación de valor. Experiencia. Crecimiento. Cercanía. Cercanía. Acompañamos a los gestores en el diseño e implantación de la estrategia mediante la aportación de conocimiento y recursos financieros. + 0 años creando valor + 0 millones de recursos gestionados + 0 transacciones completadas + 0 profesionales y colaboradores CAPITAL PRIVADO Invertimos en PyMEs españolas, apoyándolas en sus planes de crecimiento a través de estrategias de internacionalización y adquisiciones",2026-06-29 19:35:21
PE Fund,Capza,https://capza.co/,"capza, partner, private, growth, head, equity, debt, support, development, transactions, since, source, artemid, flex, tech, sustainability, market, financing, capital, platform, small, stage, investor, transition, including","CAPZA, Capital & Private Debt Sorry, your browser doesn't support embedded videos. Discover CAPZA Who we are CAPZA is an established European private investment platform focused on small & mid-cap companies. We put our experience and passion for investing at the service of investors in Europe and worldwide. With our platform of 6 complementary strategies in private equity and private debt, we support companies at every stage of their development with custom-made solutions. CAPZA is a generalist investor but has built up strong expertise in supporting companies in the health, technology, and business services sectors. Our innovative 360° sustainability approach allows us to support portfolio companies in their transition, provide sustainable solutions to our investors, lead by example and collaborate with our ecosystem to increase focus on sustainability in the market. Read more 2004 Creation of CAPZA €10.5bn assets under management Including assets managed by a third party and advised ",2026-06-29 19:35:22
PE Fund,Riverside,https://www.riversidecompany.com/locations/madrid/,"locations, riverside, office, riversidecompany, north, america, cleveland, york, francisco, dallas, angeles, europe, cologne, brussels, luxembourg, stockholm, madrid, london, munich, asia, pacific, melbourne",Riverside Office Locations | www.riversidecompany.com Locations North America Cleveland New York San Francisco Dallas Los Angeles Europe Cologne Brussels Luxembourg Stockholm Madrid London Munich Asia Pacific Melbourne |,2026-06-29 19:35:24
PE Fund,Corpfin Capital,http://www.corpfincapital.com/,"espa, grupo, servicios, descubre, compa, millones, para, capital, bajo, gesti, como, propietarios, corpfin, crecimiento, transformaci, euros, negocio, empresas, sede, cada, empresa, cuenta, versus, fuentes, kids","Corpfin Capital | Private Equity en España Ir al contenido Sound Valor que perdura Más de 35 años impulsando el crecimiento y la transformación real en compañías medianas en Iberia + + + + Conoce nuestra estrategia Somos la gestora de capital inversión más longeva en Iberia, con seis fondos institucionales levantados y más de 1.200 millones de euros bajo gestión, para impulsar proyectos empresariales en compañías de tamaño mediano. Nuestro modelo de negocio se sustenta en la relación de asociación con fundadores, empresarios o directivos, con un enfoque común en la aceleración del crecimiento y la transformación del negocio. Corpfin Capital tiene una trayectoria de éxito sostenida en el tiempo, gracias a una filosofía de inversión distintiva, que incluye la disciplina en el tamaño de los fondos gestionados (alrededor de 300 millones de euros), un equipo experimentado y comprometido y la gestión activa de la transformación empresarial bajo un modelo de alineamiento común de socios. + + ",2026-06-29 19:35:24
PE Fund,GED Capital,http://www.gedcapital.com,"buenavista, equity, partners, capital, privado, inversi, experiencia, fondos, equipo, firma, espa, independiente, infraestructuras, gran, gesti, compa, gestora, sector, valor, responsable, trav, diferentes, venture, empresas, gestoras","Buenavista Equity Partners - Gestora de Fondos de Inversión Ir al contenido Bienvenido a Buenavista Equity Partners Una firma española de Capital Privado pionera y con gran conocimiento del lower middle market. 28 años de experiencia en la inversión Somos pioneros dentro del sector. Contamos con gran visión, conocimiento y un sólido track record. Creamos valor para nuestros inversores Nuestro objetivo es maximizar el retorno al inversor en función de los parámetros de riesgo de la actividad y sector correspondiente. Garantizamos una inversión responsable Nuestro compromiso se basa en la gestión de las compañías de una forma íntegra y responsable, construyendo organizaciones más sólidas y sostenibles a largo plazo y aportando valor añadido a la sociedad. Buenavista Equity Partners es una firma independiente con amplia experiencia en Capital Privado Buenavista Equity Partners es una gestora independiente fundada en el año 1996 que opera en el segmento del lower mid-market. Actualmente ge",2026-06-29 19:35:25
PE Fund,MCH Private Equity,https://mch.es/,"empresas, inversi, equipo, universidad, madrid, valor, crecimiento, internacional, como, responsable, socio, icon, linkedin, soporte, departamento, experiencia, compa, nuestro, para, cuenta, ignacio, sido, adem, colombia, direcci","MCH Ir al contenido Ayudamos a las empresas a crear valor Impulsamos el crecimiento, la transformación y la expansión internacional de las empresas. Fondos bajo gestión 0 bn € Operaciones completadas 0 Empresas familiares 0 % Fondos levantados 0 Creación de valor a partir de crecimiento del EBITDA 0 % Experiencia 0 + APOYO ACTIVO A MEDIANAS EMPRESAS ACTIVE SUPPORT TO MID-SIZED COMPANIES APOYO ACTIVO A MEDIANAS EMPRESAS Somos una firma independiente de capital riesgo, líder en el middle market desde 1998. Nuestra misión es apoyar a las empresas en su proceso de creación de valor y transformación, mediante la internacionalización y el crecimiento tanto orgánico como inorgánico. Invertimos en compañías con un alto potencial en sectores atractivos, gestionadas por excelentes equipos directivos. We are an independent private equity firm, a leader in the middle market since 1998. Our mission is to support companies in their value creation and transformation processes, through internationaliz",2026-06-29 19:35:25
PE Fund,Moira Capital Partners,https://moiracapitalpartners.com/,"inversi, capital, invertimos, nuestras, empresa, largo, plazo, inversiones, riesgo, negocio, moira, partners, innovaci, crecimiento, sostenible, comprometido, desde, inicial, objetivo, empresas, potencial, para, transformar, horizonte, gran",Moira Capital Partners Invertimos en innovación y crecimiento sostenible Conozca nuestras inversiones + €300M Capital comprometido desde 2017 €5 - 25M Inversión inicial por empresa objetivo +20 empresas Innovadoras y con alto potencial para transformar sus industrias de 5 a 10 años Horizonte de inversión Play Video + €300M Capital comprometido desde 2017 €5 - 25M Inversión inicial por empresa objetivo +20 empresas Portfolio innovador y con gran potencial de crecimiento de 5 a 10 años Horizonte de inversión Evaluamos rigurosamente el riesgo de cada inversión Invertimos con convicción en los riesgos seleccionados. Equity tickets de €5-25M por deal. La innovación en la que invertimos debe ser: Única Que genere una ventaja competitiva sostenible Disruptiva Que aspire a alterar un modelo de negocio establecido Amplio mercado Con un gran upside que compense el riesgo con creces Planificamos estratégicamente con visión de largo plazo Elaboramos planes de negocio detallados a largo plazo antes,2026-06-29 19:35:27
PE Fund,Quarza Inversiones,https://www.quarzainversiones.com/quienes-somos/,,,2026-06-29 19:35:29
PE Fund,HIG Capital,https://www.higcapital.com/,,,2026-06-29 19:35:29
PE Fund,Nazca Capital,https://www.nazca.es/,"nazca, para, defensa, crecimiento, inversi, resultados, experiencia, nuestros, visi, equipo, capital, compa, pionero, nuestro, fondo, espa, estrategias, aeroespacio, peque, mediana, empresa, inversiones, selectivas, talento, pilares","Nazca | Capital Privado en España: Inversión y Resultados Loading... SOMOS NAZCA ESTRATEGIAS Aeroespacio y Defensa Pequeña y Mediana Empresa INVERSIONES SELECTIVAS PORTFOLIO SOSTENIBILIDAD Actualidad Contacto Área inversor Es En × Buscar Talento, experiencia y resultados son nuestros pilares . Una gestora independiente con 25 años de experiencia impulsando compañías familiares. Aportamos una visión estratégica y un acompañamiento cercano, con un claro enfoque en el crecimiento, la innovación y el espíritu pionero. Forma parte de nuestra identidad integrar talento, experiencia y orientación a resultados como pilares fundamentales de nuestro modelo de gestión. 10 Vehículos levantados 116 Transacciones 41 Profesionales >€ 1 bn Fondos bajo gestión + 90 % Empresas familiares Nuestros valores . Responsabilidad y excelencia Asumimos la responsabilidad y buscamos la excelencia en la consecución de nuestros objetivos con una firme obsesión por generar valor en todo lo que hacemos. Respeto y Tra",2026-06-29 19:35:30
PE Fund,Art Capital,http://www.artacapital.com/,"fabricante, para, proveedor, servicios, socio, inversiones, capital, componentes, sistemas, boller, pasteler, congelada, equipos, pepe, jeans, rico, inversi, equipo, nuestras, facundo, marca, gicas, gesti, gestora, privado",Artá Capital | Gestora de capital privado líder en el mercado ibérico Socio activo para un crecimiento sostenible SOBRE NOSOTROS Gestora de capital privado líder en el mercado ibérico M€ inversión M€ co-inversiones inversiones add-ons > NUESTRO EQUIPO Equipo consolidado con dilatada experiencia en el mid-market Ramón Carné Socio Director Nicolás Jiménez-Ugarte Socio Director Jaime Alba Socio Juan Ybáñez Socio CONOCE A NUESTRO EQUIPO INVERSIONES Nuestras inversiones Aviaction Proveedor de MRO para la industria aeronáutica Viokox Fabricante de productos cosméticos para terceros Onix Fabricante de mosaico vítreo premium Ferreira de Sá Diseño y fabricación de alfombras de lujo Adlanter Servicios de externalización para empresas Facundo Snacks con marca propia Alvic Fabricante de paneles revestidos y componentes para mobiliario Nuadi Fabricante de componentes para sistemas de freno Vitaly Proveedor de servicios de seguridad y salud laboral Satlink Soluciones tecnológicas para el sector marí,2026-06-29 19:35:32
PE Fund,DEA CAPITAL,https://www.deacapital.com/?lang=en,"personal, capital, purposes, users, processing, site, through, provided, according, which, email, regulation, legal, processed, real, estate, management, controller, user, italy, asset, funds, agostini, deacapital, modalities","DeA Capital One Real Estate Platform About Us DeA Capital is Italy’s leading independent Real Estate platform operating across Europe, with assets under management (AUM) of approximately €12.5 billion and a wide range of products and services for institutional investors. Read more Real Estate Asset Management ~ 200 Employees € 12,5 Mld Asset Under Management 50 Funds Of which 1 listed on the MIV segment of the Italian Stock Exchange and 1 SICAF DeA Capital a De Agostini Group company Is one of Italy's leading players in Reale Estate asset management . E9FD7B6B-8EAF-41A3-BC3D-3B7DBBFE055B Created with sketchtool. Subscribe to the DeA Capital E-mail news Email* Name and Surname* State You Are Select an Element Analyst Institutional Investor Journalist Retail Investor Other To receive real-time news about: Annual and Quarterly Reports Press Releases Presentations Privacy Policy for Processing of Personal Data of Users: DeA Capital S.p.A. (hereinafter ""DeA Capital""), a company of the De Ag",2026-06-29 19:35:32
